Microsoft (R) COFF/PE Dumper Version 14.00.23506.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file user32.dll

File Type: DLL

  Section contains the following exports for USER32.dll

    00000000 characteristics
    56540494 time date stamp Tue Nov 24 06:32:52 2015
        0.00 version
        1502 ordinal base
        1201 number of functions
         933 number of names

    ordinal hint RVA      name

       1989  1E1 0008A100 IMPGetIMEW
       1990  1E2 0008A140 IMPQueryIMEA
       1991  1E3 0008A180 IMPQueryIMEW
       1992  1E4 0008A1C0 IMPSetIMEA
       1993  1E5 0008A200 IMPSetIMEW
       1994  1E6 0003C590 ImpersonateDdeClientWindow
       1995  1E7 0001F8B0 InSendMessage
       1996  1E8 0001EB80 InSendMessageEx
       1997  1E9 00036AA0 InflateRect
       1998  1EA 0001F290 InitDManipHook
       1999  1EB 0003C5D0 InitializeInputDeviceInjection
       2000  1EC 0001F9F0 InitializeLpkHooks
       2003  1ED 0003C5E0 InitializePointerDeviceInjection
       2004  1EE 0003C5F0 InitializeTouchInjection
       2006  1EF 0003C600 InjectDeviceInput
       2007  1F0 0003C620 InjectKeyboardInput
       2008  1F1 0003C630 InjectMouseInput
       2009  1F2 0003C640 InjectPointerInput
       2011  1F3 0003C650 InjectTouchInput
       2012  1F4 00089340 InsertMenuA
       2013  1F5 00089390 InsertMenuItemA
       2014  1F6 00021330 InsertMenuItemW
       2015  1F7 0005EE90 InsertMenuW
       2016  1F8 00081F30 InternalGetWindowIcon
       2017  1F9 00030480 InternalGetWindowText
       2018  1FA 00028150 IntersectRect
       2019  1FB 00038940 InvalidateRect
       2020  1FC 00039570 InvalidateRgn
       2021  1FD 0008C750 InvertRect
       2022  1FE 0008AC40 IsCharAlphaA
       2023  1FF 0008AC60 IsCharAlphaNumericA
       2024  200 0008AC80 IsCharAlphaNumericW
       2025  201 000341D0 IsCharAlphaW
       2026  202 0008ACA0 IsCharLowerA
       2027  203 0008ACC0 IsCharLowerW
       2028  204 0008ACE0 IsCharUpperA
       2029  205 0008AD00 IsCharUpperW
       2030  206 00016ED0 IsChild
       2031  207 0003C680 IsChildWindowDpiMessageEnabled
       2032  208 00038BF0 IsClipboardFormatAvailable
       2033  209 00029820 IsDialogMessage
       2034  20A 00029820 IsDialogMessageA
       2035  20B 00029B10 IsDialogMessageW
       2036  20C 0002A1C0 IsDlgButtonChecked
       2037  20D 0001FFD0 IsGUIThread
       2038  20E 00034EE0 IsHungAppWindow
       2039  20F 00036240 IsIconic
       2040  210 0001FEA0 IsImmersiveProcess
       2041  211 00087B20 IsInDesktopWindowBand
       2042  212 000223A0 IsMenu
       2043  213 0003C690 IsMouseInPointerEnabled
       2044  214 0001E990 IsProcessDPIAware
       2045  215 0005D910 IsQueueAttached
       2046  216 0001E270 IsRectEmpty
       2047  217 00084190 IsSETEnabled
       2048  218 00017AF0 IsServerSideWindow
       2049  219 00018000 IsThreadDesktopComposited
       2528  21A 0002F7F0 IsThreadMessageQueueAttached
       2050  21B 0003C6B0 IsTopLevelWindow
       2051  21C 0003C6C0 IsTouchWindow
       2052  21D 0001E3A0 IsWinEventHookInstalled
       2053  21E 00018F80 IsWindow
       2054  21F 0005D920 IsWindowArranged
       2055  220 0003C6D0 IsWindowBroadcastingDpiToChildren
       2056  221 00014720 IsWindowEnabled
       2057  222 00013880 IsWindowInDestroy
       2058  223 00036E80 IsWindowRedirectedForPrint
       2059  224 0002DE70 IsWindowUnicode
       2060  225 00035970 IsWindowVisible
       2061  226 0005FA10 IsWow64Message
       2062  227 00036A20 IsZoomed
       2063  228 00038AB0 KillTimer
       2064  229 0002E270 LoadAcceleratorsA
       2065  22A 0002E330 LoadAcceleratorsW
       2066  22B 000223D0 LoadBitmapA
       2067  22C 00022410 LoadBitmapW
       2068  22D 00036EB0 LoadCursorA
       2069  22E 000558C0 LoadCursorFromFileA
       2070  22F 00055920 LoadCursorFromFileW
       2071  230 0001ABE0 LoadCursorW
       2072  231 00033DE0 LoadIconA
       2073  232 0001A750 LoadIconW
       2074  233 000341F0 LoadImageA
       2075  234 00036C80 LoadImageW
       2076  235 0005D960 LoadKeyboardLayoutA
